manage,year,NumberGeoTested,GeoAphYes,GeoAphNo,GeoCPBYes,GeoCPBNo,GeoThripYes,GeoThripNo,GeoScapYes,GeoScapNo,NumberNabTested,NabAphidYes,NabAphidNo,NabCPBYes,NabCPBNo,NabThripYes,NabThripNo,NabScapYes,NabScapNo,NabGeoYes,NabGeoNo,NabisAbundance,GeoAbundance,AphidAbundance,CPBAbundance,ThripAbundance,Scap_Abundance,Nitrate,Ammonium,OrgMatter,pH,Soilclass,Clay,Silt,Sand,NonPredAbund,NonPredRich,NonPredShan,NonPredSimp,PredAbund,PredRich,PredShan,PredSimp,TotAbund,TotRich,TotShan,TotSimp
Conventional,2009,59,2,57,1,58,38,21,14,45,28,2,26,0,28,10,18,15,13,2,26,2,8,18,0,58,1661,107,11,1.25,6.9,Sandy Loam,4.4,38.0,57.6,1853,21,0.5618,0.1938,89,7,1.2875,0.6413,1942,28,0.7811,0.2653
Conventional,2009,55,7,48,0,55,35,20,34,21,25,10,15,0,25,6,19,13,12,4,21,15,12,22,0,15,867,28,19,1.4,7.6,Silt Loam,6.4,52.0,41.6,1409,29,1.5633,0.5949,238,12,1.7512,0.7275,1647,41,2.0035,0.6979
Conventional,2009,52,0,52,0,52,48,4,12,40,5,0,5,0,5,5,0,2,3,2,3,2,2,1,0,0,2392,17,14,1.46,8.8,Silt Loam,4.4,50.0,45.6,2417,8,0.0735,0.0206,13,5,1.4181,0.7101,2430,13,0.1140,0.0310
Conventional,2009,51,4,47,0,51,38,13,3,48,25,5,20,3,22,10,15,12,13,2,23,0,7,8,0,9,4496,75,26,1.41,4.9,Silt Loam,9.4,49.0,41.6,4611,21,0.1789,0.0488,83,8,1.1032,0.4906,4694,29,0.2841,0.0820
Conventional,2009,25,1,24,0,25,14,11,13,12,61,2,59,0,61,33,28,52,9,8,53,6,8,4,0,19,2074,39,13,1.82,6.3,Sandy Loam,4.4,38.0,57.6,2232,23,0.4344,0.1352,119,7,1.4259,0.6555,2351,30,0.6849,0.2196
Conventional,2009,58,7,51,0,58,44,14,25,33,18,1,17,0,18,10,8,7,11,3,15,0,12,3,0,100,101,182,8,1.47,8,Silt Loam,9.4,49.0,41.6,273,18,1.7080,0.7206,22,5,1.1840,0.6157,295,23,1.9343,0.7586
Organic,2009,60,3,57,5,55,42,18,4,56,25,6,19,8,17,23,2,4,21,2,23,4,30,0,0,13,39,145,10,1.54,7.4,Silt Loam,8.4,52.0,39.6,308,21,2.2646,0.8447,106,8,1.4009,0.6730,414,29,2.6123,0.8926
Organic,2009,53,4,49,14,39,19,34,2,51,15,5,10,9,6,7,8,1,14,11,4,11,42,2,4,26,8,73,13,1.73,7.4,Silt Loam,8.4,48.0,43.6,206,16,2.3349,0.8841,78,6,1.3051,0.6456,284,22,2.6399,0.9123
Organic,2009,49,1,48,1,48,30,19,17,32,24,2,22,2,22,14,10,5,19,3,21,15,10,39,3,12,357,53,14,1.37,8,Silt Loam,6.4,54.0,39.6,680,25,1.9170,0.6995,264,11,1.9124,0.8067,944,36,2.5083,0.8289
Organic,2009,50,12,38,13,37,39,11,2,48,55,35,20,24,31,28,27,6,49,23,32,11,8,83,0,189,1564,49,12,1.28,8.2,Silt Loam,6.4,56.0,37.6,2487,27,1.5512,0.5851,204,9,1.5857,0.7370,2691,36,1.8223,0.6441
Organic,2009,53,1,52,1,52,37,16,27,26,20,0,20,4,16,13,7,6,14,7,13,1,15,3,0,53,122,74,14,2.01,7.9,Loam,9.4,41.0,49.6,517,24,1.9040,0.7904,42,6,1.3954,0.7166,559,30,2.1325,0.8191
Organic,2009,55,8,47,18,37,42,13,29,26,30,10,20,18,12,22,8,24,6,11,19,9,25,29,0,15,84,77,7,1.39,8.5,Sandy Loam,6.4,34.0,59.6,1165,23,1.6154,0.6059,137,11,1.7475,0.7820,1302,34,1.9657,0.6820
Conventional,2010,50,9,41,0,50,5,45,10,40,20,12,8,7,13,1,19,9,11,2,18,1,12,88,0,0,1379,134,9,1.4,6.5,Sandy Loam,4.0,28.0,68.0,2115,18,1.0713,0.5099,87,7,1.4702,0.6920,2202,25,1.2534,0.5474
Conventional,2010,64,0,64,4,60,5,59,0,64,35,9,26,5,30,7,28,7,28,10,25,3,36,12,0,3,10,290,3,1.8,7.9,Silt Loam,5.0,65.0,30.0,247,21,2.2226,0.8317,75,7,1.3198,0.6706,322,28,2.5551,0.8831
Conventional,2010,60,10,50,4,56,30,30,3,57,26,12,14,14,12,12,14,12,14,1,25,7,16,75,0,124,448,197,8,2.4,6.6,Silt Loam,8.0,62.0,30.0,2415,34,2.3080,0.8518,526,9,0.9446,0.4325,2941,43,2.5338,0.8819
Conventional,2010,53,3,50,6,47,16,37,1,52,21,4,17,11,10,0,21,7,14,1,20,10,27,38,0,53,1348,190,4,1.9,6.7,Silt Loam,6.0,59.0,35.0,2258,34,1.6170,0.6110,316,11,1.6329,0.7215,2574,45,1.9914,0.6964
Conventional,2010,42,3,39,0,42,23,19,8,34,51,2,49,12,39,10,41,25,26,3,48,3,14,18,0,14,1301,111,7,1.1,7.1,Silt Loam,7.0,67.0,26.0,1785,26,1.2431,0.4538,251,10,1.2969,0.6381,2036,36,1.6231,0.5747
Conventional,2010,51,2,49,3,48,23,28,12,39,23,4,19,9,14,2,21,9,14,3,20,20,44,11,0,26,1436,97,7,1,6.8,Silt Loam,4.0,55.0,41.0,1819,33,1.0590,0.3575,171,8,1.5308,0.7294,1990,41,1.3926,0.4612
Conventional,2010,13,0,13,0,13,6,7,3,10,7,0,7,1,6,1,6,3,4,0,7,0,0,7,0,80,1552,202,8,1.5,6.5,Silt Loam,5.0,57.0,38.0,1868,19,0.7316,0.3002,23,7,1.6620,0.7637,1891,26,0.8087,0.3171
Conventional,2010,50,0,50,5,45,14,36,17,33,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,7,12,193,4,1.4,7.1,Loamy Sand,3.0,23.0,74.0,389,16,1.6942,0.7136,9,4,1.1491,0.6173,398,20,1.7900,0.7262
Organic,2010,50,3,47,2,48,12,38,8,42,24,3,21,6,18,2,22,11,13,0,24,13,70,24,0,30,592,172,5,1.4,7.8,Silt Loam,7.0,61.0,32.0,2744,35,2.5053,0.8778,827,11,1.4177,0.6472,3571,46,2.7946,0.9089
Organic,2010,67,0,67,3,64,21,46,16,51,56,8,48,38,18,14,42,31,25,3,53,8,47,21,1,31,912,109,7,1.4,8.1,Silt Loam,6.0,65.0,29.0,3133,39,2.3860,0.8516,664,10,1.3752,0.6614,3797,49,2.6728,0.8886
Organic,2010,55,17,38,0,55,8,47,8,47,30,20,10,12,18,7,23,14,16,1,29,15,98,224,0,15,1011,164,3,1,7.6,Loamy Sand,2.0,22.0,76.0,1871,24,1.7533,0.6662,377,9,1.5371,0.7011,2248,33,2.1692,0.7603
Organic,2010,71,6,65,3,68,26,45,8,63,82,9,73,26,56,23,59,20,62,12,70,20,62,4,0,20,31,634,17,1.6,7.3,Silt Loam,6.0,66.0,28.0,707,27,1.9028,0.7095,175,9,1.5779,0.7559,882,36,2.3366,0.8037
Organic,2010,65,14,51,6,59,18,47,0,65,34,17,17,9,25,8,26,3,31,0,34,2,13,145,0,42,228,292,3,1.4,7.9,Silt Loam,5.0,65.0,30.0,2218,32,2.0464,0.7596,380,10,1.2283,0.5463,2598,42,2.3429,0.8151
Organic,2010,53,8,45,7,46,12,41,1,52,34,13,21,28,6,1,33,6,28,2,32,13,11,68,1,49,898,300,4,1.7,7.3,Silt Loam,7.0,65.0,28.0,2780,32,2.1812,0.8017,332,10,1.4583,0.6543,3112,42,2.4436,0.8378
Organic,2010,52,2,50,1,51,5,47,6,46,52,4,48,14,38,8,44,17,35,1,51,31,27,13,0,17,1543,40,5,1.6,8,Sandy Loam,3.0,45.0,52.0,2538,33,1.5349,0.6002,380,12,1.7113,0.7424,2918,45,1.9447,0.6931
Organic,2010,50,2,48,0,50,20,30,7,43,19,2,17,10,9,6,13,6,13,0,19,13,14,23,0,65,2894,189,4,1.3,6.5,Loamy Sand,2.0,19.0,79.0,4131,31,1.2164,0.4847,156,8,1.4088,0.6598,4287,39,1.3797,0.5210
Organic,2010,60,3,57,7,53,8,52,11,49,22,6,16,11,11,3,19,11,11,3,19,8,26,27,0,3,3885,176,2,0.9,7.7,Sandy Loam,4.0,35.0,61.0,4213,29,0.3864,0.1148,95,6,1.4014,0.6970,4308,35,0.5147,0.1533
Conventional,2011,55,12,43,0,55,5,50,1,54,24,13,11,0,24,11,13,5,19,12,12,6,35,43,0,0,744,167,17,1.6,5.8,Sandy Loam,8.0,29.0,63.0,943,15,0.9265,0.3691,278,6,0.8519,0.4077,1221,21,1.4460,0.5930
Conventional,2011,50,5,45,0,50,12,38,1,49,51,24,27,4,47,12,39,4,47,41,10,60,24,530,0,362,482,195,4,1.4,8.3,Silt Loam,7.0,64.0,29.0,2476,28,2.0915,0.8407,477,10,1.4579,0.6870,2953,38,2.4314,0.8798
Conventional,2011,5,0,5,0,5,4,1,0,5,5,1,4,0,5,2,3,1,4,2,3,1,0,13,0,40,116,80,9,1.7,6.4,Silt Loam,8.0,58.0,34.0,348,21,1.9737,0.7772,185,8,0.8577,0.4072,533,29,2.2319,0.8336
Conventional,2011,50,4,46,0,50,26,24,3,47,12,1,11,0,12,11,1,4,8,2,10,1,11,25,0,101,711,36,12,1.3,6.2,Silt Loam,8.0,58.0,34.0,1449,23,1.7631,0.7121,541,9,1.0492,0.5780,1990,32,2.1541,0.8162
Conventional,2011,8,1,7,0,8,7,1,5,3,22,2,20,0,22,22,0,12,10,2,20,12,8,0,0,0,7183,113,7,1.3,7.5,Loam,9.0,43.0,48.0,8260,18,0.6266,0.2398,84,10,1.7460,0.7608,8344,28,0.6941,0.2550
Conventional,2011,50,7,43,0,50,37,13,23,27,23,3,20,0,23,20,3,19,4,12,11,7,5,0,0,116,4699,175,9,1.6,7.6,Silt Loam,12.0,58.0,30.0,6128,19,0.9477,0.3987,64,7,1.3491,0.6338,6192,26,1.0094,0.4110
Organic,2011,50,22,28,0,50,5,45,3,47,15,9,6,0,15,0,15,3,12,8,7,227,65,7473,0,10,1028,30,13,1.7,6.7,Sandy Loam,7.0,35.0,58.0,9421,29,0.8646,0.3573,2270,12,1.1147,0.4822,11691,41,1.4054,0.5631
Organic,2011,23,3,20,0,23,3,20,15,8,52,12,40,0,52,6,46,25,27,8,44,109,30,10,0,24,1640,20,11,1,8.4,Silt Loam,9.0,59.0,32.0,3510,29,1.7356,0.7111,732,9,1.5867,0.7278,4242,38,2.1698,0.7941
Organic,2011,26,4,22,1,25,25,1,5,21,50,7,43,6,44,37,13,5,45,6,44,10,8,114,0,127,1201,21,12,0.9,7.7,Silt Loam,6.0,52.0,42.0,2412,32,1.9453,0.7195,864,11,1.2801,0.6384,3276,43,2.3468,0.8228
Organic,2011,50,13,37,1,49,42,8,0,50,38,15,23,2,36,28,10,10,28,13,25,32,11,65,0,206,297,36,14,1,7.2,Silt Loam,6.0,59.0,35.0,2263,29,1.6163,0.6352,554,12,1.4455,0.6760,2817,41,2.0785,0.7521
Organic,2011,53,3,50,2,51,30,23,0,53,50,4,46,11,39,14,36,0,50,2,48,23,55,9,4,81,304,66,8,1.1,7.5,Sandy Loam,4.0,34.0,62.0,953,27,2.2547,0.8379,171,7,1.5922,0.7755,1124,34,2.5803,0.8783
Organic,2011,52,0,52,5,47,23,29,0,52,42,5,37,10,32,14,28,2,40,0,42,30,85,23,22,30,381,80,6,1.6,7.6,Silt Loam,10.0,53.0,37.0,1000,28,2.3254,0.8193,191,10,1.6735,0.7423,1191,38,2.6611,0.8660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
